,cn_conNum,cn_cureNum,cn_cureRate,cn_deathNum,cn_deathRate,cn_susNum,date,is_show,wjw_susNum,wuhan_conNum,wuhan_cureNum,wuhan_deathNum,wuhan_susNum
0,68584,9425,13.74,1666,2.43,8228,02.15,true,1918,39462,2915,1233,2168
1,66576,8101,12.17,1524,2.29,8969,02.14,true,2277,37914,2023,1123,
2,63932,6728,10.52,1381,2.16,10109,02.13,true,2450,32959,2016,1016,2585
3,59882,5915,9.88,1368,2.28,13485,02.12,true,2807,32994,1380,1036,
4,44730,4742,10.6,1114,2.49,16067,02.11,true,3342,19558,1242,820,
5,42708,3998,9.36,1017,2.38,21675,02.10,true,3536,18454,1052,748,
6,40235,3283,8.16,909,2.26,23589,02.09,true,4008,16902,879,681,
7,37251,2651,7.12,812,2.18,28942,02.08,true,3916,14982,747,608,
8,34598,2052,5.93,723,2.09,27657,02.07,true,4214,13603,698,545,
9,31211,1542,4.94,637,2.04,26359,02.06,true,4833,11618,459,478,
10,28060,1153,4.11,564,2.01,24702,02.05,true,5328,10117,431,414,
11,24363,892,3.66,491,2.02,23260,02.04,true,3971,8351,368,362,
12,20471,632,3.09,425,2.08,23214,02.03,true,5072,6384,317,313,
13,17238,475,2.76,361,2.09,21558,02.02,true,5173,5142,215,265,
14,14411,328,2.28,304,2.11,19544,02.01,true,4562,4109,171,224,
15,11821,243,2.06,259,2.19,17988,01.31,true,5019,3215,139,192,
16,9720,171,1.76,213,2.19,15238,01.30,true,4812,2639,103,159,
17,7736,124,1.6,170,2.2,12167,01.29,true,4148,2261,82,129,
18,5974,103,1.72,132,2.21,9239,01.28,true,3248,1905,75,104,
19,4515,60,1.33,106,2.35,6973,01.27,true,2077,1590,42,85,
20,2744,51,1.86,80,2.92,5794,01.26,true,3806,698,42,63,
21,1975,49,2.48,56,2.84,2684,01.25,true,1309,618,40,45,
22,1287,38,2.95,41,3.19,1965,01.24,true,680,572,32,38,
23,830,34,4.1,25,3.01,1072,01.23,true,257,495,30,7,
24,571,30,5.25,17,2.98,348,01.22,true,257,365,30,7,
25,440,25,5.68,9,2.05,91,01.21,true,91,303,25,7,
26,258,25,9.69,6,2.33,54,01.20,true,54,258,25,6,
27,198,25,12.63,4,2.02,,01.19,true,,198,25,4,
28,121,24,19.83,3,2.48,,01.18,false,,121,24,3,
29,62,19,30.65,2,3.23,,01.17,false,,62,19,2,
30,45,7,15.56,2,4.44,,01.16,false,,45,7,2,
31,41,7,17.07,1,2.44,,01.15,false,,41,7,1,
32,41,7,17.07,1,2.44,,01.14,false,,41,7,1,
33,41,7,17.07,1,2.44,,01.13,false,,41,7,1,
34,41,6,14.63,1,2.44,,01.12,false,,41,6,1,
35,41,2,4.88,1,2.44,,01.11,false,,41,2,1,
