,cureNum,deathNum,name,susNum,value
0,12561,1870,中国,6242,72528
1,13,1,日本,0,611
2,24,0,新加坡,0,77
3,15,0,泰国,0,35
4,9,0,德国,3,16
5,4,0,阿联酋,0,9
6,9,0,越南,0,16
7,5,0,澳大利亚,0,15
8,12,0,韩国,0,31
9,1,0,美国,0,15
10,9,0,马来西亚,4,22
11,1,0,比利时,0,1
12,0,0,西班牙,0,2
13,2,0,俄罗斯,0,2
14,1,0,柬埔寨,0,1
15,3,0,印度,0,3
16,0,0,斯里兰卡,0,1
17,1,1,菲律宾,31,3
18,0,0,墨西哥,2,0
19,0,0,巴西,1,0
20,0,0,哥伦比亚,1,0
21,8,0,英国,5,9
22,0,0,意大利,2,3
23,2,0,加拿大,9,8
24,1,0,芬兰,0,1
25,0,0,尼泊尔,2,1
26,4,1,法国,0,12
27,0,0,科特迪瓦,1,0
28,0,0,瑞士,2,0
29,0,0,以色列,2,0
30,0,0,厄瓜多尔,1,0
31,0,0,瑞典,0,1
32,0,0,埃及,0,1
