,cureNum,deathNum,ename,name,susNum,value
0,122,4,beijing,北京,0,387
1,7903,1789,hubei,湖北,0,59989
2,547,4,guangdong,广东,0,1328
3,534,0,zhejiang,浙江,0,1172
4,520,19,henan,河南,0,1257
5,518,4,hunan,湖南,0,1007
6,235,5,chongqing,重庆,0,553
7,337,6,anhui,安徽,0,982
8,168,3,sichuan,四川,0,508
9,208,3,shandong,山东,0,543
10,36,1,jilin,吉林,34,89
11,93,0,fujian,福建,0,292
12,310,1,jiangxi,江西,0,933
13,276,0,jiangsu,江苏,0,629
14,177,1,shanghai,上海,97,333
15,67,2,guangxi,广西,0,242
16,79,4,hainan,海南,0,163
17,85,0,shanxis,陕西,79,240
18,129,4,hebei,河北,6,302
19,105,11,heilongjiang,黑龙江,101,464
20,46,1,liaoning,辽宁,0,121
21,57,0,yunnan,云南,0,172
22,46,3,tianjin,天津,0,127
23,53,0,shanxi,山西,32,130
24,58,2,gansu,甘肃,0,91
25,8,0,neimenggu,内蒙古,0,73
26,2,1,taiwan,台湾,0,22
27,5,0,aomen,澳门,0,10
28,2,1,xianggang,香港,0,61
29,66,1,guizhou,贵州,0,146
30,1,0,xizang,西藏,0,1
31,15,0,qinghai,青海,0,18
32,12,1,xinjiang,新疆,0,76
33,42,0,ningxia,宁夏,0,70
