,cureNum,deathNum,ename,name,susNum,value
0,98,4,beijing,北京,0,375
1,4792,1457,hubei,湖北,0,54406
2,408,2,guangdong,广东,17,1294
3,419,0,zhejiang,浙江,0,1162
4,388,13,henan,河南,0,1212
5,406,2,hunan,湖南,0,1001
6,166,5,chongqing,重庆,0,538
7,217,6,anhui,安徽,0,950
8,119,1,sichuan,四川,0,470
9,155,2,shandong,山东,0,532
10,25,1,jilin,吉林,27,88
11,70,0,fujian,福建,0,285
12,210,1,jiangxi,江西,0,913
13,180,0,jiangsu,江苏,0,604
14,124,1,shanghai,上海,143,326
15,44,2,guangxi,广西,0,235
16,39,4,hainan,海南,0,162
17,56,0,shanxis,陕西,245,232
18,97,3,hebei,河北,33,291
19,51,11,heilongjiang,黑龙江,135,425
20,30,1,liaoning,辽宁,0,119
21,42,0,yunnan,云南,96,168
22,33,3,tianjin,天津,0,121
23,42,0,shanxi,山西,0,127
24,46,2,gansu,甘肃,0,90
25,6,0,neimenggu,内蒙古,0,68
26,2,0,taiwan,台湾,0,18
27,3,0,aomen,澳门,0,10
28,1,1,xianggang,香港,0,56
29,40,1,guizhou,贵州,0,143
30,1,0,xizang,西藏,0,1
31,13,0,qinghai,青海,0,18
32,11,1,xinjiang,新疆,0,70
33,33,0,ningxia,宁夏,0,70
